detective_id;first_name;last_name;detective_rank;email;phone_number
09832;Ivan;Petrenko;Chief;ivan.petrenko@police.ua;+380931234567
06574; Olena; Shevchenko; Senior; olena.shevchenko@police.ua; +380671234567
21344; Maksym; Koval; Junior; maks.koval@police.ua; +380501234567
12345; Oksana; Tkachenko; Senior; oksana.tkachenko@police.ua; +380991112233
14325; Serhii; Hrytsenko; Junior; serhii.h@police.ua; +380931234000
56789; Andrii;Bondar; Chief; andrii.bondar@police.ua; +380981230000
99854; Kateryna; Vovk; Senior; kateryna.vovk@police.ua; +380971111111
09234; Yurii; Melnyk; Junior; yurii.m@police.ua; +380631111222
02345; Halyna; Romanenko; Senior; halyna.r@police.ua; +380951234567
00120; Taras; Lysenko; Chief; taras.lysenko@police.ua; +380961111111
