witness_id;case_id;first_name;last_name;address;phone_number;birth_date;statement_date
10001;10001;Olena;Kravets;Shevchenko St. 15;380931112233;1990-02-15;2023-01-16
10002;10002;Ivan;Bondar;Halytska St. 7;380671112233;1985-06-21;2024-03-11
10003;10003;Maksym;Tkachenko;Deribasivska 35;380501112233;1992-08-10;2024-05-22
10004;10004;Oksana;Melnyk;Lisova 3;380991112233;1995-11-30;2023-09-12
10005;10005;Serhii;Koval;Kozatska 10;380931100000;1988-12-01;2022-10-21
10006;10006;Andrii;Vovk;Bohdan Khmelnytsky 12;380981122233;1991-03-05;2024-07-02
10007;10007;Kateryna;Romanenko;Promyslova 19;380971111222;1994-05-15;2023-12-02
10008;10008;Yurii;Lysenko;Riverside 24;380631111333;1987-09-23;2024-02-26
10009;10009;Halyna;Petrenko;Zelena 11;380951112244;1993-01-19;2024-06-20
10010;10010;Taras;Shevchenko;Vokzalna 3;380961123344;1989-07-07;2023-04-08
